customer_id,orders_last_3_months,avg_order_value,discount_usage,days_since_last_order,customer_tenure,membership_tier,complaints_filed,email_open_rate,churn,predicted_churn_probability
CUST000065,9,29.03,3.0,21,58,Silver,0,0.697,0,0.02705410469478874
CUST000066,8,24.14,4.0,3,55,Silver,0,0.805,0,0.03680165244440653
CUST000067,7,30.82,4.0,74,52,Silver,0,0.482,0,0.33527059168959034
CUST000068,6,28.85,7.0,41,31,Bronze,0,0.766,1,0.4990592753569822
CUST000069,5,8.0,3.0,13,1,Bronze,2,0.888,1,0.3008775966120314
CUST000070,4,10.15,4.0,64,22,Bronze,0,0.446,0,0.807000382934888
CUST000071,3,16.32,7.0,24,15,Bronze,0,0.836,1,0.7417326178068219
CUST000072,5,11.86,4.0,21,17,Bronze,1,0.885,0,0.21932509433231348
CUST000073,11,35.04,1.0,59,49,Gold,0,0.975,0,0.011312303916808488
CUST000074,6,21.44,5.0,33,10,Bronze,0,0.928,0,0.1935821713373915
CUST000075,2,26.03,6.0,47,25,Bronze,0,0.559,0,0.758079850391471
CUST000076,10,31.7,4.0,73,23,Bronze,0,1.0,0,0.240343675497611
CUST000077,8,13.04,5.0,10,54,Bronze,0,0.836,0,0.050203526935374
CUST000078,7,34.07,7.0,17,8,Silver,0,0.645,0,0.1311186825117202
CUST000079,11,31.27,7.0,26,28,Silver,0,0.864,0,0.12683802858450308
CUST000080,7,46.83,2.0,31,16,Gold,1,0.824,0,0.017783647305490535
CUST000081,5,10.64,2.0,71,47,Silver,0,0.871,0,0.3493913750209746
CUST000082,8,20.11,3.0,8,28,Bronze,0,0.626,0,0.055642823637610986
CUST000083,7,23.0,2.0,48,23,Gold,2,0.75,0,0.24311540305950308
CUST000084,6,12.87,6.0,33,52,Bronze,1,0.878,0,0.23755350560613556
CUST000085,4,12.53,7.0,28,43,Bronze,0,0.475,1,0.6790305077598815
CUST000086,2,13.67,6.0,42,8,Bronze,0,0.734,1,0.8398092400509637
CUST000087,8,24.21,6.0,6,43,Silver,0,0.926,0,0.02194131550851019
CUST000088,3,21.36,3.0,61,36,Silver,0,0.829,1,0.5805660258495638
CUST000089,5,16.52,5.0,13,11,Bronze,1,0.601,0,0.3986489502478993
CUST000090,3,36.03,3.0,60,36,Silver,1,0.791,1,0.4761207390995882
CUST000091,5,42.99,5.0,67,29,Bronze,0,0.987,0,0.4710353611116897
CUST000092,8,38.72,5.0,29,48,Silver,2,,0,0.05797103033597503
CUST000093,5,14.39,5.0,33,15,Bronze,1,0.468,1,0.6995292190952533
CUST000094,11,11.18,5.0,79,52,Bronze,1,1.0,0,0.34192115857268324
CUST000095,3,34.51,5.0,69,14,Bronze,0,0.289,1,0.9169547083716394
CUST000096,5,45.37,6.0,9,6,Silver,1,0.703,0,0.14487915180770353
CUST000097,4,12.45,4.0,18,47,Bronze,1,0.671,1,0.4277189083902074
CUST000098,6,23.99,8.0,72,53,Bronze,0,0.824,1,0.8193641782031602
CUST000099,4,19.39,6.0,38,6,Bronze,1,0.673,1,0.7744342582731693
CUST000100,7,32.6,2.0,5,50,Platinum,0,0.779,0,0.016463127898641905
CUST000101,8,39.37,3.0,58,48,Gold,0,0.924,0,0.14753327762102125
CUST000102,6,33.82,6.0,40,31,Silver,0,0.952,0,0.2651948707459791
CUST000103,3,21.28,7.0,49,23,Bronze,0,0.422,0,0.8640153062263626
CUST000104,7,33.74,1.0,69,16,Platinum,0,0.674,1,0.059967597051628796
CUST000105,6,35.28,3.0,15,63,Gold,1,0.309,0,0.035902379208150065
CUST000106,5,30.71,4.0,40,5,Silver,1,0.654,0,0.29007048193817925
CUST000107,4,24.29,6.0,55,24,Bronze,0,0.538,0,0.8464490965551889
CUST000108,3,10.42,6.0,74,6,Bronze,0,0.75,1,0.9383487232352278
CUST000109,5,29.73,7.0,32,14,Bronze,1,0.726,0,0.5602299993228731
CUST000110,4,32.78,4.0,60,58,Gold,0,0.889,0,0.2906358400833867
CUST000111,5,22.2,6.0,7,3,Silver,1,0.668,0,0.19828242264398732
CUST000112,3,25.59,4.0,32,56,Bronze,0,0.477,0,0.27866282273217674
CUST000113,5,28.83,5.0,76,47,Bronze,0,0.851,1,0.7612030509312973
CUST000114,6,29.7,4.0,49,23,Silver,1,0.579,0,0.42931097797048506
CUST000115,8,39.39,6.0,40,1,Bronze,1,1.0,0,0.23542144585572136
CUST000116,5,10.06,4.0,45,18,Gold,1,0.764,1,0.39674902598107675
CUST000117,12,38.79,1.0,56,58,Gold,0,1.0,0,0.009611087251477255
CUST000118,16,29.61,4.0,20,54,Silver,0,0.933,0,0.024180097596981896
CUST000119,3,8.0,6.0,17,44,Bronze,0,0.896,0,0.2834608591796537
CUST000120,8,22.84,5.0,73,36,Silver,0,0.999,0,0.23661924537451315
CUST000121,7,36.23,2.0,66,38,Silver,0,0.548,0,0.2003393670423337
CUST000122,5,15.85,3.0,75,15,Silver,1,0.7,1,0.5902325342490053
CUST000123,7,12.08,6.0,78,51,Bronze,0,0.651,1,0.74994332870969
CUST000124,5,11.38,,45,24,Bronze,0,0.755,0,0.4780415270623938
CUST000125,6,20.07,7.0,17,11,Bronze,0,0.8,1,0.3098265804638231
CUST000126,6,26.97,4.0,39,6,Silver,0,0.742,0,0.18274909017609292
CUST000127,3,30.02,7.0,68,43,Bronze,0,0.573,0,0.9087934796955034
CUST000128,4,20.11,6.0,38,20,Bronze,2,0.547,1,0.8406600569136713
CUST000129,4,19.77,7.0,14,17,Bronze,0,0.865,0,0.489157743253652
CUST000130,5,28.34,6.0,23,32,Silver,1,0.827,0,0.23078372138085276
CUST000131,4,28.35,4.0,38,7,Bronze,1,0.553,0,0.5516146569901273
CUST000132,9,33.81,1.0,27,22,Gold,0,0.744,0,0.029914410597542095
CUST000133,7,26.96,4.0,2,23,Silver,0,0.913,0,0.027113545688769926
CUST000134,8,20.81,6.0,63,14,Bronze,1,0.914,1,0.678638110119
CUST000135,4,12.76,3.0,47,13,Silver,1,0.941,1,0.4510302220442764
CUST000136,4,19.42,6.0,29,30,Bronze,0,0.81,0,0.5926290786749617
CUST000137,12,40.91,2.0,36,59,Platinum,0,0.911,0,0.023992268646390248
CUST000138,6,18.93,4.0,14,17,Silver,0,0.943,0,0.05024934456923489
CUST000139,9,19.58,6.0,57,62,Gold,0,0.977,0,0.07607980131955398
CUST000140,2,9.35,7.0,69,42,Bronze,0,0.819,0,0.9138924405252289
CUST000141,4,34.88,5.0,10,52,Silver,0,0.779,0,0.08893372225602746
CUST000142,7,27.74,6.0,48,49,Silver,1,0.603,1,0.5540616441864097
CUST000143,8,26.83,2.0,57,52,Gold,0,0.944,0,0.07485937915667601
CUST000144,10,29.83,7.0,20,15,Silver,0,0.742,0,0.11075378596520533
CUST000145,2,30.57,4.0,44,6,Silver,0,0.519,0,0.5257542136370434
CUST000146,4,24.84,6.0,66,1,Bronze,1,0.956,1,0.892055128797239
CUST000147,5,11.18,7.0,37,49,Bronze,0,0.95,1,0.46453224000480386
CUST000148,7,8.0,5.0,57,11,Silver,0,,1,0.4563587926387847
CUST000149,1,20.67,4.0,27,8,Bronze,0,0.822,0,0.5251855044015175
CUST000150,1,30.72,4.0,22,11,Bronze,1,0.258,1,0.6040093524204122
CUST000151,4,31.41,1.0,32,47,Gold,1,0.804,0,0.04740590292350222
CUST000152,7,33.29,3.0,40,29,Gold,0,0.516,0,0.16439861339820097
CUST000153,6,12.69,6.0,10,14,Bronze,0,0.902,0,0.08863649773081525
CUST000154,3,30.28,5.0,21,11,Silver,1,0.523,1,0.583928188248063
CUST000155,6,34.41,5.0,17,4,Bronze,0,0.621,0,0.1650156486596613
CUST000156,9,22.43,4.0,65,22,Silver,1,1.0,0,0.14831873691775413
CUST000157,7,38.32,5.0,75,48,Bronze,0,0.694,0,0.570769917034143
CUST000158,9,19.85,4.0,55,52,Silver,1,0.965,0,0.09028929196849868
CUST000159,5,30.85,3.0,67,60,Silver,0,0.748,0,0.19641242383084223
CUST000160,7,38.82,1.0,8,44,Gold,1,0.546,0,0.0143569149137173
CUST000161,3,32.37,5.0,6,35,Bronze,1,0.762,0,0.24634432307845702
CUST000162,3,36.79,3.0,27,27,Gold,0,0.606,0,0.06732569454625861
CUST000163,5,39.41,6.0,51,6,Bronze,0,0.753,1,0.7982759976184868
CUST000164,4,31.82,6.0,21,29,Bronze,0,0.575,1,0.5523678483899771
CUST000165,3,24.37,2.0,42,32,Silver,0,0.889,0,0.2156288586303647
CUST000166,1,15.24,5.0,12,14,Bronze,0,0.69,1,0.5337639076805801
CUST000167,7,16.04,3.0,50,44,Gold,1,,0,0.13432885350663068
CUST000168,2,34.83,,44,46,Gold,1,0.674,1,0.31533539331092597
CUST000169,1,31.8,7.0,39,32,Bronze,0,0.654,1,0.7890610450035557
CUST000170,9,27.54,0.0,57,45,Platinum,0,0.83,0,0.009351167768778652
CUST000171,2,26.08,6.0,43,4,Bronze,0,0.462,1,0.8663863168439175
CUST000172,3,29.15,3.0,73,40,Silver,0,0.625,0,0.6237541982785271
CUST000173,6,12.6,6.0,14,18,Bronze,1,0.823,0,0.17165187673743357
CUST000174,10,36.27,3.0,21,36,Gold,1,0.77,0,0.029271155464421078
CUST000175,8,29.75,5.0,34,55,Bronze,0,0.845,0,0.09825689474087189
CUST000176,4,39.46,3.0,13,25,Bronze,0,0.749,0,0.15472372672363496
CUST000177,1,8.0,6.0,30,2,Bronze,1,0.8,0,0.7008710065392582
CUST000178,13,29.19,1.0,3,11,Platinum,0,,0,0.013279130029339956
CUST000179,7,23.91,4.0,29,38,Gold,0,0.602,0,0.0387967778002798
CUST000180,9,20.38,4.0,17,13,Silver,0,0.973,0,0.03398859122168054
CUST000181,6,24.43,3.0,4,11,Gold,1,0.839,0,0.022338245194051486
CUST000182,8,28.67,0.0,7,49,Gold,0,0.805,0,0.04914374453573599
CUST000183,8,21.94,4.0,38,15,Silver,1,1.0,0,0.11350402248937998
CUST000184,6,26.99,6.0,44,50,Bronze,1,0.897,1,0.4177008419846628
CUST000185,11,31.67,3.0,6,41,Gold,0,0.726,0,0.009419243132652516
CUST000186,10,33.4,8.0,14,18,Silver,0,0.842,0,0.14110027406497302
CUST000187,4,27.55,5.0,52,46,Bronze,0,0.72,1,0.7450107631469346
CUST000188,3,16.45,7.0,73,52,Bronze,0,0.6,0,0.83392113649072
CUST000189,6,30.73,7.0,71,35,Silver,1,0.707,0,0.6401077227734652
CUST000190,8,34.02,7.0,75,43,Bronze,0,0.664,0,0.7072742028626132
CUST000191,11,28.27,1.0,0,54,Gold,0,0.872,0,0.03542090067557834
CUST000192,6,27.11,6.0,75,40,Bronze,1,0.86,0,0.737958814955438
CUST000193,5,29.56,3.0,60,14,Bronze,0,0.537,0,0.6756409386682338
CUST000194,8,24.48,3.0,8,65,Gold,0,0.788,0,0.017871225401591778
CUST000195,5,23.71,5.0,80,14,Bronze,0,0.696,0,0.7987177119496983
CUST000196,2,20.86,,27,6,Bronze,0,0.719,0,0.4929060014946571
CUST000197,5,25.45,7.0,52,28,Silver,0,0.905,1,0.6105949144363627
CUST000198,9,40.8,2.0,61,48,Gold,0,0.974,0,0.02857052850057693
CUST000199,4,18.67,4.0,54,52,Bronze,1,0.77,0,0.3594802714563678
CUST000200,9,41.9,5.0,31,11,Bronze,0,1.0,0,0.05085951195255302
CUST000201,6,35.28,4.0,28,35,Gold,0,0.947,0,0.027321242481318685
CUST000202,7,33.43,0.0,27,29,Platinum,0,1.0,0,0.020101778031953815
CUST000203,5,16.31,3.0,65,12,Silver,0,0.51,1,0.565399861808102
CUST000204,0,21.7,5.0,71,1,Bronze,0,0.777,1,0.8947485287497842
CUST000205,8,23.15,4.0,50,26,Bronze,0,0.536,0,0.3009091022285271
CUST000206,6,27.95,4.0,14,11,Bronze,3,0.783,0,0.2042617729729306
CUST000207,7,19.58,4.0,27,38,Bronze,0,0.85,0,0.05693885067454782
CUST000208,4,37.1,4.0,21,55,Silver,1,0.744,0,0.13518506524035034
CUST000209,10,33.37,5.0,65,1,Bronze,0,0.58,0,0.3286348869363431
CUST000210,5,32.95,5.0,59,52,Silver,0,0.883,0,0.471385982154784
CUST000211,6,22.95,6.0,8,23,Silver,0,0.805,0,0.07610160868633002
CUST000212,3,26.83,3.0,71,30,Silver,0,0.785,1,0.6601775090232022
CUST000213,10,9.52,4.0,75,1,Bronze,1,1.0,0,0.32925637760410886
CUST000214,11,22.78,4.0,43,13,Gold,0,0.805,0,0.05802751709510338
CUST000215,9,36.95,3.0,37,51,Silver,0,0.722,0,0.040193948133996335
CUST000216,5,23.96,3.0,50,49,Silver,0,0.878,1,0.47357755946818053
CUST000217,9,24.26,5.0,66,36,Bronze,1,0.931,0,0.4810146941658266
CUST000218,5,22.41,4.0,44,40,Bronze,0,0.717,1,0.3872786282029278
CUST000219,5,29.86,4.0,1,63,Gold,0,0.678,0,0.014199910222858768
CUST000220,4,8.24,5.0,58,3,Bronze,0,0.946,0,0.7139768472951632
CUST000221,2,10.71,5.0,56,24,Bronze,0,0.741,0,0.8353486784187828
CUST000222,10,35.06,2.0,70,44,Silver,2,0.973,0,0.13566858609924248
CUST000223,7,32.64,5.0,70,25,Silver,0,0.894,0,0.3743190041971917
CUST000224,8,33.92,5.0,43,50,Platinum,1,0.66,0,0.17586886852259864
CUST000225,3,21.77,2.0,53,50,Bronze,0,0.697,0,0.41349802191423535
CUST000226,1,30.99,3.0,68,25,Gold,0,0.584,0,0.5022082086424585
CUST000227,3,15.76,6.0,31,47,Bronze,0,0.639,0,0.6213905756083791
CUST000228,6,25.35,3.0,65,12,Silver,0,0.868,0,0.369276728337921
CUST000229,7,17.06,4.0,49,13,Silver,1,0.845,0,0.343316011148945
CUST000230,3,32.05,4.0,22,27,Bronze,0,0.713,1,0.3289588594623748
CUST000231,3,26.66,6.0,12,10,Bronze,0,0.823,0,0.6328296366049562
CUST000232,4,19.16,5.0,76,28,Bronze,1,0.936,0,0.806774465751799
CUST000233,6,30.19,1.0,0,15,Platinum,1,0.787,0,0.02616240665702597
CUST000234,6,25.22,6.0,49,57,Silver,0,0.912,1,0.2285108735022541
CUST000235,5,24.15,4.0,48,19,Gold,0,0.543,0,0.23406995233605507
CUST000236,7,36.16,4.0,67,65,Gold,0,0.566,0,0.11811283541230287
CUST000237,4,29.33,6.0,47,7,Silver,0,0.464,1,0.6989717956235398
CUST000238,8,26.95,3.0,48,20,Gold,0,0.69,0,0.13993897926959697
CUST000239,1,25.98,4.0,54,29,Bronze,0,0.563,1,0.8015170996704376
CUST000240,1,42.08,5.0,80,50,Bronze,0,0.574,1,0.8426167804530045
CUST000241,3,32.4,2.0,57,64,Gold,0,0.442,0,0.21095981176006784
CUST000242,9,18.98,1.0,44,54,Gold,0,0.698,0,0.0668440589243508
CUST000243,3,9.35,4.0,69,25,Bronze,0,0.714,1,0.8654568723783641
CUST000244,5,23.56,4.0,62,3,Silver,1,0.967,1,0.6412833992619538
CUST000245,9,27.66,4.0,67,20,Silver,1,0.913,0,0.2487752523677078
CUST000246,6,26.4,2.0,3,14,Gold,1,0.926,0,0.021375156943520844
CUST000247,4,24.02,4.0,37,20,Silver,0,0.836,0,0.3637799083610196
CUST000248,3,16.6,5.0,80,17,Bronze,0,0.773,1,0.8848284760718598
CUST000249,4,15.79,5.0,50,28,Bronze,0,0.677,0,0.7627903296794936
CUST000250,0,32.17,5.0,8,3,Bronze,0,0.612,0,0.4911475555923404
CUST000251,5,30.13,6.0,70,7,Silver,1,0.853,1,0.7230089086838701
CUST000252,7,35.41,3.0,66,23,Gold,1,0.738,0,0.2165667868815377
CUST000253,3,37.57,5.0,57,54,Silver,0,0.62,0,0.6561136974411153
CUST000254,0,24.3,5.0,17,34,Bronze,0,0.684,0,0.40783707267639974
CUST000255,8,25.47,4.0,62,32,Bronze,0,0.838,0,0.3092355770002238
CUST000256,8,15.65,2.0,75,3,Silver,0,0.947,0,0.31975548738679854
CUST000257,8,47.07,5.0,50,53,Gold,0,0.802,0,0.1118835052969204
CUST000258,7,26.63,4.0,10,22,Bronze,0,0.595,0,0.10031546039221452
CUST000259,2,24.84,8.0,58,6,Bronze,1,0.423,1,0.9448131771141921
CUST000260,12,16.7,6.0,22,26,Silver,1,1.0,0,0.06903572338322579
CUST000261,4,19.11,4.0,18,27,Bronze,0,0.663,0,0.2397355355536385
CUST000262,4,27.86,3.0,16,32,Gold,0,0.447,0,0.044976821509969976
CUST000263,6,31.23,4.0,79,29,Bronze,0,0.713,0,0.5442470190412549
CUST000264,9,29.39,5.0,30,9,Bronze,0,0.606,0,0.1470990057514804
CUST000265,5,26.35,4.0,11,55,Gold,0,0.961,0,0.015556713687085383
CUST000266,4,29.23,6.0,55,16,Bronze,0,0.858,0,0.8110159124779257
CUST000267,9,28.09,5.0,65,53,Bronze,0,0.802,0,0.21756366538288552
CUST000268,4,9.76,5.0,42,19,Bronze,2,0.558,0,0.7665733123869363
CUST000269,5,18.44,5.0,10,34,Bronze,0,0.83,0,0.18209511411538112
CUST000270,2,38.16,7.0,50,9,Bronze,0,0.313,0,0.8322668596735335
CUST000271,3,24.56,6.0,75,19,Bronze,1,0.709,1,0.9371690516405867
CUST000272,3,38.85,7.0,30,39,Bronze,0,0.839,1,0.571608603085105
CUST000273,6,30.52,4.0,71,1,Bronze,1,0.843,1,0.8049187715460924
CUST000274,9,25.28,7.0,60,41,Silver,0,0.935,1,0.5256828303769563
CUST000275,9,29.18,4.0,46,46,Silver,0,0.466,0,0.12735381483116887
CUST000276,2,33.65,7.0,66,51,Bronze,0,0.477,1,0.9042173690218958
CUST000277,6,21.21,6.0,18,29,Bronze,0,0.63,0,0.17681469063925828
CUST000278,2,39.23,4.0,17,13,Silver,0,0.794,0,0.26497243545085336
CUST000279,8,44.24,2.0,34,21,Gold,1,1.0,0,0.023102996174176934
CUST000280,9,45.41,2.0,60,9,Gold,0,0.538,0,0.07548899256042163
CUST000281,5,14.1,6.0,28,1,Bronze,1,0.601,1,0.6030450568573041
CUST000282,8,28.32,2.0,18,54,Bronze,0,0.89,0,0.044759773016912884
CUST000283,6,24.24,6.0,15,21,Bronze,0,0.75,0,0.1681790613558832
CUST000284,3,19.13,5.0,34,37,Bronze,1,0.546,0,0.6257232571671345
CUST000285,8,41.43,2.0,52,13,Silver,0,0.85,0,0.15315920166975047
CUST000286,6,16.53,4.0,15,26,Bronze,0,0.893,0,0.05212582756851309
CUST000287,5,20.39,7.0,66,6,Bronze,0,,1,0.9026086562145204
CUST000288,5,22.76,4.0,30,48,Bronze,0,1.0,0,0.1424106911796851
CUST000289,7,23.9,5.0,13,30,Silver,1,1.0,0,0.027096672040506625
CUST000290,6,28.3,7.0,47,48,Bronze,0,0.322,0,0.43535980508869854
CUST000291,9,25.31,1.0,31,9,Gold,0,0.925,0,0.033921061484242
CUST000292,3,21.45,7.0,16,19,Bronze,1,0.464,1,0.6146585549400432
CUST000293,10,29.98,3.0,27,28,Gold,0,0.852,0,0.01774627893603496
CUST000294,2,8.0,6.0,61,32,Bronze,0,0.775,1,0.895861739461294
CUST000295,7,48.02,0.0,8,14,Gold,0,0.595,0,0.030077142699666635
CUST000296,9,40.38,3.0,13,10,Gold,0,0.83,0,0.017894526030947974
CUST000297,6,21.92,1.0,23,20,Platinum,0,0.979,0,0.018919871188916
CUST000298,4,33.03,0.0,9,15,Gold,0,0.877,0,0.06674292410344827
CUST000299,6,28.82,4.0,14,57,Gold,0,,0,0.011902395790009452
CUST000300,3,38.63,3.0,50,15,Silver,0,0.795,0,0.4342593904109152
CUST000301,9,36.42,2.0,26,54,Gold,0,0.722,0,0.033867639206617554
CUST000302,4,11.52,7.0,16,32,Bronze,0,0.572,1,0.5522644185739818
CUST000303,6,23.89,3.0,34,35,Silver,0,0.692,0,0.06450335225431683
CUST000304,7,32.56,4.0,39,48,Silver,1,0.554,1,0.29453248371028784
CUST000305,5,24.27,1.0,52,21,Gold,0,0.719,0,0.10133162247720938
CUST000306,7,25.18,3.0,30,3,Silver,0,0.706,0,0.06240415191863758
CUST000307,3,27.68,6.0,12,42,Bronze,0,0.888,1,0.23029719946638805
CUST000308,12,11.21,2.0,23,45,Silver,0,0.923,0,0.028918011265578566
CUST000309,4,34.1,4.0,53,21,Bronze,0,0.594,0,0.6572456157808623
CUST000310,5,35.26,5.0,33,54,Bronze,0,0.466,0,0.3393973815898522
CUST000311,5,12.0,3.0,64,16,Silver,1,0.94,1,0.49911781895839313
CUST000312,7,25.17,6.0,43,48,Bronze,1,0.996,0,0.3211982812210321
CUST000313,3,9.65,5.0,78,44,Bronze,0,0.746,1,0.8901141997104354
CUST000314,7,32.6,5.0,65,39,Bronze,1,0.867,0,0.594428958284378
CUST000315,4,19.68,5.0,20,1,Bronze,1,0.795,0,0.41540480079249964
CUST000316,4,17.23,2.0,58,44,Bronze,1,0.958,0,0.3679913418898262
CUST000317,7,30.5,4.0,53,6,Bronze,0,0.518,0,0.519612744870293
CUST000318,5,12.89,3.0,56,58,Silver,0,0.855,1,0.40680908831939394
CUST000319,6,14.51,,28,26,Bronze,0,0.795,0,0.11795109338256457
CUST000320,5,37.91,1.0,38,31,Gold,0,0.804,0,0.05690430169284676
CUST000321,9,51.48,1.0,48,37,Gold,1,0.997,0,0.03282453408748805
CUST000322,7,44.16,4.0,8,44,Silver,0,,0,0.026375765847513912
CUST000323,3,34.22,4.0,75,2,Bronze,0,0.298,0,0.8413838407761922
CUST000324,3,31.53,,19,51,Silver,0,0.727,0,0.21120250849959796
CUST000325,5,18.13,1.0,8,18,Gold,0,0.94,0,0.0586092620383586
CUST000326,3,26.68,5.0,34,26,Silver,0,0.821,1,0.41041727794367355
CUST000327,4,20.47,3.0,71,31,Gold,0,0.612,0,0.38690613264450774
CUST000328,5,34.02,,30,31,Silver,0,0.522,0,0.1233035274987269
CUST000329,10,41.21,3.0,50,37,Silver,0,1.0,0,0.02889721194963078
CUST000330,2,18.04,5.0,16,19,Bronze,1,0.801,0,0.4915698523897024
CUST000331,10,32.6,5.0,37,58,Silver,0,0.878,0,0.07849712032439299
CUST000332,4,25.29,3.0,38,47,Bronze,1,0.692,0,0.2692989181322066
CUST000333,4,23.96,7.0,47,5,Silver,1,0.838,0,0.6999924133579108
CUST000334,4,62.1,2.0,48,58,Gold,0,0.647,0,0.07776916337417089
CUST000335,3,12.75,6.0,60,29,Bronze,0,0.769,1,0.9022772750356514
